Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,scholarid
23,University of Toronto,Nathan Wiebe,,"AI,Interdisciplinary Areas ,System,Theory",https://web.cs.toronto.edu/people/faculty-directory,,,,,"Machine learning,Robotics,Computer architecture,Design automation,Algorithms & complexity",DSgKHOQAAAAJ
23,University of Toronto,Bo Wang 0044,,AI,https://wanglab.ml/people.html,,,,,"Artificial intelligence,Computer vision,Machine learning",37FDILIAAAAJ
23,University of Toronto,AlÃ¡n Aspuru-Guzik,,"AI,Interdisciplinary Areas ",http://matter.toronto.edu/about-us,,,,,"Computer vision,Machine learning,Robotics",Ag_6KEgAAAAJ
23,University of Toronto,Jonathan Kelly,,"AI,Interdisciplinary Areas ",https://starslab.ca,,,,,"Computer vision,Robotics",KtSR8_0AAAAJ
23,University of Toronto,Jimmy Ba,,"AI,Interdisciplinary Areas ",https://jimmylba.github.io,,,,,"Computer vision,Machine learning,Comp. bio & bioinformatics",ymzxRhAAAAAJ
23,University of Toronto,Tim D. Barfoot,,"AI,Interdisciplinary Areas ",http://asrl.utias.utoronto.ca/~tdb,,,,,"Artificial intelligence,Robotics",N_vPIhoAAAAJ
23,University of Toronto,Brendan J. Frey,,"AI,Interdisciplinary Areas ",http://www.psi.toronto.edu/~frey,,,,,"Computer vision,Machine learning,Comp. bio & bioinformatics",RjQ7YnMAAAAJ
23,University of Toronto,Yashar Ganjali,,"AI,Interdisciplinary Areas ,System",http://www.cs.toronto.edu/~yganjali,,,,,"Machine learning,Human-computer interaction,Computer networks,Computer security,Measurement & perf. analysis ",9btkXOgAAAAJ
23,University of Toronto,Sheila A. McIlraith,,"AI,Interdisciplinary Areas ,System",http://www.cs.toronto.edu/~sheila,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Computer science education,Robotics,Software engineering",ny2zuvMAAAAJ
23,University of Toronto,Allan Douglas Jepson,,"AI,Interdisciplinary Areas ",http://www.cs.toronto.edu/~jepson,,,,,"Artificial intelligence,Computer vision,Machine learning,Robotics",mYVIS8QAAAAJ
23,University of Toronto,Allan Borodin,,"AI,Interdisciplinary Areas ,System,Theory",http://www.cs.toronto.edu/~bor,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Economics & computation,Databases,Algorithms & complexity",VIFfuYgAAAAJ
23,University of Toronto,Ashton Anderson,,AI,http://www.cs.toronto.edu/~ashton,,,,,"Machine learning,The Web & information retrieval   ",FMSltawAAAAJ
23,University of Toronto,Fahiem Bacchus,,"AI,Theory",http://www.cs.toronto.edu/~fbacchus,,,,,"Artificial intelligence, Logic & verification,Algorithms & complexity",Yy4QD_AAAAAJ
23,University of Toronto,Nandita Vijaykumar,,"AI,System",http://www.cs.toronto.edu/~nandita,,,,,"Computer vision,Machine learning,Computer architecture,Computer networks,Measurement & perf. analysis ",y7erynoAAAAJ
24,University of Michigan-Ann Arbor,Edmund H. Durfee,,"AI,Interdisciplinary Areas ",http://ai.eecs.umich.edu/people/durfee,,,,,"Artificial intelligence,Economics & computation,Robotics",NOSCHOLARPAGE
24,University of Michigan-Ann Arbor,Wei Hu 0014,,AI,https://weihu.me,,,,,Machine learning,ZybgAqkAAAAJ
24,University of Michigan-Ann Arbor,Clayton Scott,,AI,https://web.eecs.umich.edu/~cscott,,,,,Machine learning,SEMSJmcAAAAJ
24,University of Michigan-Ann Arbor,David T. Blaauw,,"AI,System",http://web.eecs.umich.edu/faculty/blaauw,,,,,"Machine learning,Computer architecture,Design automation,High-performance computing,Mobile computing",P3JdmqAAAAAJ
24,University of Michigan-Ann Arbor,David Jurgens,,AI,https://www.si.umich.edu/node/15080,,,,," Natural language processing,The Web & information retrieval   ",sGFFr5kAAAAJ
24,University of Michigan-Ann Arbor,Lingjia Tang,,"AI,Interdisciplinary Areas ,System",http://www.lingjia.org,,,,," Natural language processing,Human-computer interaction,Computer architecture,High-performance computing,Operating systems,Programming languages",hc9PP9gAAAAJ
24,University of Michigan-Ann Arbor,Igor L. Markov,,"AI,System",http://web.eecs.umich.edu/~imarkov,,,,,"Artificial intelligence,Machine learning,Computer architecture,Databases,Design automation",CHIZtZAAAAAJ
24,University of Michigan-Ann Arbor,Ceren Budak,,"AI,Interdisciplinary Areas ,System",http://cbudak.com/index.html,,,,," Natural language processing,Artificial intelligence,The Web & information retrieval   ,Economics & computation,Databases",wIhJS60AAAAJ
24,University of Michigan-Ann Arbor,J. Alex Halderman,,"AI,Interdisciplinary Areas ,System",https://jhalderm.com,,,,,"The Web & information retrieval   ,Human-computer interaction,Computer security,Measurement & perf. analysis ",h6yXnyEAAAAJ
24,University of Michigan-Ann Arbor,Benjamin Kuipers,,"AI,Interdisciplinary Areas ",http://web.eecs.umich.edu/~kuipers,,,,,"Artificial intelligence,Computer vision,Machine learning,Robotics",H1XVLwsAAAAJ
24,University of Michigan-Ann Arbor,Elizabeth Bondi-Kelly,,AI,https://sites.google.com/view/elizabethbondi,,,,,Artificial intelligence,jB66t5YAAAAJ
24,University of Michigan-Ann Arbor,Atul Prakash 0001,,"AI,System",http://web.eecs.umich.edu/~aprakash,,,,,"Computer vision,Machine learning,Computer security,Mobile computing",kIkHa2IAAAAJ
24,University of Michigan-Ann Arbor,Danai Koutra,,"AI,Interdisciplinary Areas ,System",http://web.eecs.umich.edu/~dkoutra,,,,," Natural language processing,Artificial intelligence,Machine learning,The Web & information retrieval   ,Human-computer interaction,Databases",bDrA1-8AAAAJ
24,University of Michigan-Ann Arbor,Elliot Soloway,,"AI,Interdisciplinary Areas ,System",http://www.soe.umich.edu/people/profile/elliot_soloway,,,,,"Artificial intelligence,Human-computer interaction,Software engineering",NOSCHOLARPAGE
24,University of Michigan-Ann Arbor,H. V. Jagadish,,"AI,System",http://web.eecs.umich.edu/~jag,,,,," Natural language processing,Artificial intelligence,Machine learning,The Web & information retrieval   ,Databases,Design automation",SKVnHakAAAAJ
24,University of Michigan-Ann Arbor,Eric Gilbert,,"AI,Interdisciplinary Areas ",http://eegilbert.org,,,,," Natural language processing,The Web & information retrieval   ,Human-computer interaction",71OktocAAAAJ
24,University of Michigan-Ann Arbor,Stella X. Yu,,"AI,Interdisciplinary Areas ",https://web.eecs.umich.edu/~stellayu,,,,,"Artificial intelligence,Computer vision,Machine learning,Robotics",uqWkLzMAAAAJ
24,University of Michigan-Ann Arbor,Laura Balzano,,AI,https://web.eecs.umich.edu/~girasole,,,,,"Artificial intelligence,Computer vision,Machine learning",X6fRNfUAAAAJ
24,University of Michigan-Ann Arbor,Mark S. Ackerman,,"AI,Interdisciplinary Areas ,System",https://www.si.umich.edu/people/mark-ackerman,,,,,"The Web & information retrieval   ,Economics & computation,Human-computer interaction,Computer security,Mobile computing",qBTbnEQAAAAJ
24,University of Michigan-Ann Arbor,Samet Oymak,,AI,http://www.sametoymak.com,,,,,"Artificial intelligence,Computer vision,Machine learning",AY6InkoAAAAJ
24,University of Michigan-Ann Arbor,Maggie Makar,,AI,https://mymakar.github.io,,,,,"Artificial intelligence,Machine learning",bmlgkM4AAAAJ
24,University of Michigan-Ann Arbor,Lu Wang 0008,,"AI,Interdisciplinary Areas ",https://web.eecs.umich.edu/~wangluxy,,,,," Natural language processing,Artificial intelligence,Computer vision,Human-computer interaction",uczqEdUAAAAJ
24,University of Michigan-Ann Arbor,Emily Mower Provost,,AI,http://web.eecs.umich.edu/~emilykmp,,,,," Natural language processing,Artificial intelligence",2pH8BZwAAAAJ
24,University of Michigan-Ann Arbor,Hun-Seok Kim,,"AI,System",https://kim.engin.umich.edu,,,,,"Computer vision,Computer architecture,Computer networks,Mobile computing",qCdzviYAAAAJ
24,University of Michigan-Ann Arbor,Xu Wang 0016,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~xuwang,,,,," Natural language processing,Human-computer interaction",Fa0scckAAAAJ
24,University of Michigan-Ann Arbor,Grant Schoenebeck,,"AI,Interdisciplinary Areas ,System,Theory",http://web.eecs.umich.edu/~schoeneb,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Economics & computation,Databases,Algorithms & complexity",m4zCAPoAAAAJ
24,University of Michigan-Ann Arbor,Florian Schaub,,"AI,Interdisciplinary Areas ,System",https://www.si.umich.edu/people/florian-schaub,,,,," Natural language processing,The Web & information retrieval   ,Human-computer interaction,Computer security",zg29qGEAAAAJ
24,University of Michigan-Ann Arbor,Eytan Adar,,"AI,Interdisciplinary Areas ",http://www.cond.org,,,,," Natural language processing,Artificial intelligence,The Web & information retrieval   ,Human-computer interaction,Visualization",4tMapHYAAAAJ
24,University of Michigan-Ann Arbor,Euiwoong Lee,,"AI,Interdisciplinary Areas ,Theory",https://web.eecs.umich.edu/~euiwoong,,,,,"Artificial intelligence,Economics & computation,Algorithms & complexity",9Yxhn6oAAAAJ
24,University of Michigan-Ann Arbor,Viswanath Nagarajan,,"AI,Interdisciplinary Areas ,Theory",https://viswa.engin.umich.edu,,,,,"Machine learning,Economics & computation,Algorithms & complexity",UyD0bLYAAAAJ
24,University of Michigan-Ann Arbor,XuanLong Nguyen,,"AI,System",http://dept.stat.lsa.umich.edu/~xuanlong,,,,,"Artificial intelligence,Machine learning,Databases",Az7XqxQAAAAJ
24,University of Michigan-Ann Arbor,Kevyn Collins-Thompson,,AI,http://www-personal.umich.edu/~kevynct,,,,," Natural language processing,Machine learning,The Web & information retrieval   ",q__pgY9AkUQJ
24,University of Michigan-Ann Arbor,Jiasi Chen,,"AI,System",https://jiasi.engin.umich.edu,,,,,"Artificial intelligence,Machine learning,Computer security,Mobile computing",3FC3-T0AAAAJ
24,University of Michigan-Ann Arbor,Karem A. Sakallah,,"AI,System,Theory",http://web.eecs.umich.edu/~karem,,,,,"Artificial intelligence,Design automation,Operating systems, Logic & verification",M441iZ8AAAAJ
24,University of Michigan-Ann Arbor,Roya Ensafi,,"AI,System",https://ensa.fi,,,,,"The Web & information retrieval   ,Computer security,Measurement & perf. analysis ",1eDQjxcAAAAJ
24,University of Michigan-Ann Arbor,Anhong Guo,,"AI,Interdisciplinary Areas ",https://guoanhong.com,,,,,"Computer vision,Human-computer interaction",xSZXqZQAAAAJ
24,University of Michigan-Ann Arbor,Odest Chadwicke Jenkins,,"AI,Interdisciplinary Areas ,System",http://ohseejay.org,,,,,"Computer vision,Machine learning, Computer graphics,Robotics,Design automation",dp5LnVAAAAAJ
24,University of Michigan-Ann Arbor,Alexander RodrÃ­guez,,AI,https://alrodri.engin.umich.edu,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ",ILkESaUAAAAJ
